UID        PID  PPID  C STIME TTY          TIME CMD
rahul     2399  1394  0 12:00 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
rahul     2404  1394  0 12:00 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
rahul     2412  1394  0 12:00 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
rahul     2418  1394  0 12:00 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
rahul     2421  1394  0 12:00 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
rahul     2422  2115  0 12:00 ?        00:00:00 /bin/sh -c /usr/bin/gtk-window-decorator
rahul     2423  2422  0 12:00 ?        00:00:09 /usr/bin/gtk-window-decorator
rahul     2425  1394  0 12:00 ?        00:00:13 /usr/lib/x86_64-linux-gnu/indicator-applet-complete
rahul     2441  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
rahul     2461  1394  0 12:00 ?        00:00:04 /usr/lib/telepathy/mission-control-5
rahul     2505  1681  0 12:01 ?        00:00:00 telepathy-indicator
rahul     2569  1681  0 12:01 ?        00:00:00 zeitgeist-datahub
rahul     2574  1394  0 12:01 ?        00:00:00 /usr/bin/zeitgeist-daemon
rahul     2580  1394  0 12:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
rahul     2592  2580  0 12:01 ?        00:00:00 /bin/cat
rahul     2637  1681  0 12:01 ?        00:00:00 update-notifier
rahul     2653  2152  0 12:01 ?        00:03:01 gnome-terminal
rahul     2662  2653  0 12:01 ?        00:00:00 gnome-pty-helper
rahul     2663  2653  0 12:01 pts/1    00:00:01 bash
rahul     2729  2152  5 12:02 ?        00:23:28 /usr/lib/firefox/firefox
rahul     2747  1394  0 12:02 ?        00:00:00 /usr/lib/libunity-webapps/unity-webapps-service
rahul     2793  1681  0 12:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
rahul     2801  2729  0 12:03 ?        00:00:28 /usr/lib/firefox/plugin-container /opt/google/talkplugin/libnpgoogletalk.so -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2729 true plugin
rahul     2806  1394  0 12:03 ?        00:00:13 /opt/google/talkplugin/GoogleTalkPlugin
rahul     2841  1394  0 12:03 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
rahul     2860  2653  0 12:04 pts/5    00:00:00 bash
rahul     3001  2860  0 12:16 pts/5    00:00:16 vim RunTest.py
rahul     3027  2653  0 12:18 pts/12   00:00:00 bash
rahul     3104  3027  0 12:18 pts/12   00:00:01 vim readTestObject.py
